UnitID,"10 Year Mean Earnings (0-30,000)","6 Year Mean Earnings (0-30,000)","6 Year Median Earnings (0-30,000)","8 Year Median Earnings (0-30,000)","10 Year Median Earnings (0-30,000)","Median Student Loan Debt (0-30,000)","Number of Students in the Median Debt, Low-Income (0-30,000) Student Cohort",year (year)
100654,33000,27200,27306,33321,36650,17500,2097,latest
100663,47000,38600,39200,42534,47182,16666,2965,latest
100690,NA,30300,24449,31582,35752,12875,371,latest
100706,47000,36300,48051,48529,51208,14502,1007,latest
100724,29000,23500,24776,28836,32844,17750,1664,latest
100751,45500,42900,43215,46037,50774,17750,2770,latest
100760,28900,23300,24790,27178,29649,6500,230,latest
100812,36700,30800,38917,42501,40995,15650,806,latest
100830,34600,29400,34582,36430,39704,13000,1443,latest
100858,53800,41900,49343,50822,55306,18750,1370,latest
100937,NA,33800,43935,43979,48372,12000,96,latest
101028,28500,22000,26210,29872,29610,6250,327,latest
101116,32200,24700,26046,26519,30600,12643,6874,latest
101143,40000,29600,28116,32342,36889,5362,212,latest
101161,29700,24900,25732,27815,31695,5746,1316,latest
101189,32000,26900,31737,33487,33968,15750,1041,latest
101240,28200,22900,24835,27072,30145,NA,NA,latest
101277,NA,NA,NA,NA,NA,5500,82,latest
101286,28700,23600,24879,26180,29703,NA,NA,latest
101295,31700,25900,28951,31170,32908,8200,1019,latest
101301,25700,21800,23520,26390,26529,NA,NA,latest
101365,35000,24500,28939,28595,30257,10662,6447,latest
101435,31300,29000,34608,42144,42368,25000,198,latest
101453,NA,NA,NA,NA,NA,NA,NA,latest
101462,25600,20300,21938,24188,28493,NA,NA,latest
101471,NA,NA,NA,NA,NA,NA,NA,latest
101480,35200,28700,33917,36029,38376,14000,1752,latest
101505,31700,26300,29915,32477,33368,3500,1477,latest
101514,28100,24400,27596,30127,31385,6126,1374,latest
101569,25300,21800,24438,26930,29537,NA,NA,latest
101587,36300,25500,30493,34894,33933,12500,1117,latest
101602,30000,24300,24766,26133,30131,NA,NA,latest
101648,NA,32400,49748,48998,45707,4750,77,latest
101675,27900,21200,24191,28598,29768,16500,869,latest
101693,33200,31100,30139,36144,39313,22223,318,latest
101709,34500,26400,32349,35124,38438,15745,397,latest
101736,28000,23500,24635,25789,31467,5500,601,latest
101879,38000,28600,34772,35372,38356,16250,1075,latest
101897,29400,23800,25380,29053,31534,3500,254,latest
101912,32600,24400,29046,32483,36616,20500,391,latest
101994,25500,NA,22356,25153,28497,NA,NA,latest
102030,27000,22700,22862,24811,27375,NA,NA,latest
102049,59100,49500,47187,49081,52930,18538,139,latest
102067,30000,24800,27742,29885,31837,NA,NA,latest
102076,28700,24400,26886,29636,30579,5750,319,latest
102094,44500,32200,35205,39165,41942,18750,2195,latest
102234,39200,29600,37813,37978,43545,19500,155,latest
102270,28900,24000,26555,30221,33166,16375,414,latest
102298,24000,20400,22470,24830,29731,14750,636,latest
102313,27100,22400,23910,25407,28273,NA,NA,latest
102368,35400,29400,31562,32422,37576,17000,4311,latest
102377,39400,33800,35807,39353,40824,22937,564,latest
102395,NA,NA,40097,39929,46778,10819,31,latest
102429,30100,25300,27040,29127,31677,NA,NA,latest
102553,46000,37200,35565,39371,44499,12500,1411,latest
102580,NA,NA,NA,NA,NA,NA,NA,latest
102614,41100,30700,32891,38352,39908,12136,897,latest
102632,33700,32300,34665,38606,36689,12498,243,latest
102669,39200,29800,38638,32900,45463,11250,63,latest
102711,38400,32300,34551,41309,33992,NA,14,latest
102845,36900,24500,30178,29483,30346,12051,2594,latest
103501,30900,25800,26356,28690,29114,7199,246,latest
103741,24400,16600,19989,21257,21689,7955,1036,latest
103893,24900,24500,30624,31071,31690,9229,2272,latest
103909,24900,24500,30624,31071,31690,9229,2272,latest
103927,24900,24500,30624,31071,31690,9229,2272,latest
103954,NA,NA,NA,17655,26683,NA,52,latest
103963,25100,27000,24053,25732,26575,10657,12213,latest
104090,21900,19400,25931,24683,25423,9491,2451,latest
104151,53100,40300,47098,51220,55736,13750,18708,latest
104160,30000,23900,29058,30968,32786,4500,165,latest
104179,51700,39300,44572,48088,54205,13000,4240,latest
104346,28600,24400,30117,32506,33064,6804,318,latest
104391,NA,NA,15875,21624,20775,NA,44,latest
104425,31900,25700,30021,31886,34341,6500,289,latest
104443,21300,16700,19868,20094,21154,7667,1289,latest
104568,22100,18700,22416,24576,25908,6285,762,latest
104577,32500,28000,27122,32815,35867,NA,NA,latest
104586,64400,48000,61775,67018,76693,15000,2108,latest
104665,NA,NA,NA,NA,NA,NA,NA,latest
104708,35300,28400,33555,34564,39415,5000,1747,latest
104717,44000,24700,28161,29080,30890,10764,28442,latest
105145,34300,30700,33861,34910,39416,4500,820,latest
105154,38100,30200,32992,35599,40825,4603,2252,latest
105206,29100,24700,28066,29632,30161,9500,429,latest
105215,37500,29900,38178,40928,42103,10588,2332,latest
105297,22200,18200,22336,23997,27319,NA,NA,latest
105330,42700,34600,42246,44529,48441,12500,3864,latest
105349,29200,22500,24453,28830,30710,NA,NA,latest
105367,40900,31100,39150,40677,43172,12975,968,latest
105428,33000,25800,29601,32672,35212,5250,1496,latest
105525,32300,26600,30954,32623,35932,4875,3001,latest
105534,27800,25400,32155,32394,32331,9500,7803,latest
105543,NA,NA,23088,27042,30221,4788,314,latest
105589,31200,26800,31816,33618,30266,12500,185,latest
105659,41300,31400,37736,43492,42594,7917,869,latest
105668,38800,29500,25898,29567,38144,4500,2015,latest
105677,NA,NA,NA,NA,32114,NA,22,latest
105747,39200,33100,36294,39622,41714,5243,670,latest
105792,31300,27100,30408,32353,34742,4847,436,latest
105899,NA,NA,38290,38999,42341,6500,174,latest
106041,44400,33300,43585,44281,47773,10827,3443,latest
106148,30900,25500,31282,32579,32462,7500,598,latest
106245,34800,30600,33525,37288,40471,15500,2455,latest
106263,63300,64500,62384,64745,69625,16408,200,latest
106306,NA,19600,22375,22836,26614,9250,344,latest
106315,NA,NA,NA,18357,17867,6333,180,latest
106324,NA,NA,19050,13904,NA,NA,22,latest
106342,37200,NA,31646,36043,34758,9500,114,latest
106351,NA,NA,16034,18328,17273,NA,107,latest
106360,NA,NA,NA,20654,21305,9300,97,latest
106397,48600,38100,40565,45196,47893,15000,1874,latest
106412,28900,22700,26522,29914,32918,14250,883,latest
106449,29300,24200,28088,29828,30553,6188,384,latest
106458,32200,28100,32015,32758,35876,16000,2310,latest
106467,33300,27000,30769,33164,36359,11750,2006,latest
106485,31200,23300,24455,27097,31343,11179,766,latest
106494,17800,18700,19303,21069,19100,7599,119,latest
106546,46000,45000,50465,49486,56865,9500,400,latest
106625,25500,22800,24886,27938,29375,6937,298,latest
106704,37900,29900,33266,36118,40144,12981,1661,latest
106713,NA,29500,32222,38748,35530,13382,159,latest
106795,25900,22400,27126,29570,28963,NA,NA,latest
106810,NA,NA,27966,30198,22531,10500,43,latest
106883,25000,21100,22266,23927,26620,4500,71,latest
106892,22000,19000,22498,21953,23270,3407,520,latest
106908,NA,NA,20768,20453,17172,9833,323,latest
106980,26300,21800,23145,25523,27974,7000,718,latest
106999,28200,22900,26246,25497,27230,8200,203,latest
107044,44300,32800,38299,41986,49583,22214,283,latest
107071,40500,27800,32082,35837,38799,12000,798,latest
107080,38200,NA,31916,36918,46827,19488,86,latest
107099,NA,NA,13522,16486,15081,NA,71,latest
107123,NA,NA,53204,52826,73652,6495,27,latest
107141,45500,34900,40322,44023,50017,15735,186,latest
107220,NA,NA,15381,19134,22829,6333,223,latest
107293,NA,NA,NA,16560,20646,3742,48,latest
107318,25100,20700,22481,25406,26899,NA,NA,latest
107327,27300,23600,25757,27468,30128,NA,NA,latest
107442,NA,NA,NA,11749,20563,NA,NA,latest
107460,26100,23200,26422,27194,30187,7725,196,latest
107488,29000,NA,34344,31322,41316,NA,NA,latest
107512,47400,34600,33706,41827,42117,14750,112,latest
107521,28400,22700,25781,29483,30164,6896,150,latest
107549,25600,19400,23447,23592,26204,9415,282,latest
107558,38500,28600,31722,36410,37526,10900,126,latest
107585,29400,25400,28123,26680,31415,7746,324,latest
107600,24300,20900,23361,31361,31036,15000,501,latest
107619,24900,19500,22504,24809,25623,NA,NA,latest
107637,27100,21500,23696,25770,26391,6562,440,latest
107655,NA,NA,17911,15448,21380,NA,35,latest
107664,27000,22000,24134,27799,29664,7754,2738,latest
107725,26000,24500,26274,28289,29874,NA,NA,latest
107743,23400,20500,24107,23922,26085,6000,61,latest
107789,NA,NA,18495,21039,24206,7692,63,latest
107831,NA,NA,17710,NA,17662,9199,66,latest
107840,NA,NA,12490,NA,NA,NA,NA,latest
107877,31000,27100,34012,34294,36107,8411,98,latest
107974,28900,25500,26332,27505,30795,7705,352,latest
107983,35500,27000,31135,34986,38478,14000,918,latest
107992,27300,23200,26245,26609,30642,3774,241,latest
108065,NA,NA,NA,NA,NA,NA,NA,latest
108092,30800,27900,29487,32831,36374,10965,1014,latest
108232,44800,28600,30212,30856,34918,10500,2746,latest
108269,NA,NA,NA,NA,NA,NA,NA,latest
108667,39700,28200,32991,36406,41175,NA,65,latest
108807,35200,25500,31501,35305,37631,8519,146,latest
108852,NA,18900,22242,20037,25291,12000,107,latest
108861,NA,NA,NA,NA,NA,NA,NA,latest
108870,NA,NA,NA,NA,NA,NA,NA,latest
108977,NA,NA,19424,NA,24041,4194,64,latest
109040,31700,24500,32743,32753,33536,9500,2569,latest
